20220831	15:11:42	32a77beb-428d-48b3-bdcf-50fc3aeff0ba	/	GET
20220831	15:11:42	111a3645-a3e7-4a78-ad92-182e7f6fe0cc	/css/style.css	GET
20220831	15:11:42	c2b372c9-27e4-43f3-8865-4237b3a700db	/favicon.ico	GET
20220831	17:45:30	8a74f5a4-c0ad-4bc7-8d3b-577635d68c8a	GET	undefined	/new-page.html}
20220831	17:45:31	fe400afa-e7f4-4f18-9079-dc223686024d	GET	undefined	/css/style.css}
20220831	17:45:31	093d458d-7298-4f7c-8dd2-12b8fac4cb56	GET	undefined	/img/img1.jpg}
20220831	17:45:35	57c6f435-380e-4686-a57b-ba3828302b91	GET	undefined	/}
20220831	17:45:36	bdfd78f3-1570-4635-a0ca-badf3078a296	GET	undefined	/css/style.css}
20220831	17:48:44	168632de-050c-440c-a57f-a88b9bc0adc7	GET	undefined	/}
20220831	17:48:44	de14589f-22d7-468c-94b8-e4bece34c187	GET	undefined	/css/style.css}
20220831	17:48:48	3c9a6736-e341-4029-91d6-4cae6a9f6d5d	GET	undefined	/}
20220831	17:48:49	f7dcdbb1-3155-4e8b-ab00-51fbd8805929	GET	undefined	/css/style.css}
20220831	17:49:55	715ce0e5-9833-4884-813e-54262a59364b	OPTIONS	https://www.google.com	/}
20220831	17:49:55	4be19e05-c82b-46bf-b9c7-d890e833e468	GET	https://www.google.com	/}
20220831	17:52:28	98abd2f2-1e78-44c2-868f-67e72ee5578d	OPTIONS	https://www.google.com	/}
20220831	17:52:28	da06c985-a900-40f1-a6e2-23e6ab7b40ec	GET	https://www.google.com	/}
20220831	17:52:35	3c0218eb-2af7-49d8-ba08-b4ddd3e545ac	OPTIONS	https://www.google.com	/}
20220831	17:52:35	48c75752-9b82-4ec1-a073-b9f3309dcc09	GET	https://www.google.com	/}
20220831	17:54:30	f13d387c-6560-43fb-9a22-71fa2008dbfc	OPTIONS	https://www.google.com	/}
20220831	17:54:30	cb35fdf2-4962-489c-a440-356a6338749f	GET	https://www.google.com	/}
20220831	17:54:38	85998961-ffa2-45d6-93df-e0395c9b956e	OPTIONS	https://www.google.com	/}
20220831	17:54:38	609e9243-a83f-43f8-bb03-6c369e428802	GET	https://www.google.com	/}
20220831	17:54:44	4aadb1f1-710c-4ceb-bf0c-fab5571a2200	OPTIONS	https://www.google.com	/}
20220831	17:54:44	908554cc-84b8-4edf-bd05-d4a7ec700054	GET	https://www.google.com	/}
20220831	17:54:45	0e4014e3-cd6d-42c7-8ad3-208402952618	OPTIONS	https://www.google.com	/}
20220831	17:54:45	a101b3ad-8511-493c-a387-ea5e6ad18a35	GET	https://www.google.com	/}
20220831	17:54:51	2dcfd81d-2db1-4778-bc16-391ff6e73d19	OPTIONS	https://www.google.com	/}
20220831	17:54:51	6a5c1345-112c-4fcf-856f-d352c536d871	GET	https://www.google.com	/}
20220831	17:58:00	0a1afaa8-e08e-44d4-9297-a3e0e8308e16	GET	undefined	/}
20220831	17:58:01	428213a1-7671-4a74-8c2e-5007e984bfbb	GET	undefined	/css/style.css}
20220831	17:58:06	2226ec0c-356c-4acd-b106-849c0a6d9353	GET	undefined	/}
20220831	17:58:07	29d0ce76-16d1-412b-a337-58fd7e99d989	GET	undefined	/css/style.css}
20220831	18:19:37	1a4622fa-dbb0-4d9e-bd2d-c04320e7b3f3	GET	undefined	/}
20220831	18:19:37	dd9c83c8-71d8-43ba-b452-2ecc29251775	GET	undefined	/css/style.css}
20220831	18:19:46	2495fcf6-266c-424b-a3ea-ec0028704aa9	GET	undefined	/subdir/index}
20220831	18:21:47	1646f5c6-3d5a-4d8f-8b67-193b38d0e85e	GET	undefined	/subdir/index}
20220831	18:21:54	2727ca81-80b0-4b4f-b537-6f754b2178ff	GET	undefined	/subdir/indexww}
20220831	18:21:55	e07cb7b9-35ee-4a1f-9367-9a779a73bf3e	GET	undefined	/subdir/css/style.css}
20220831	18:26:22	d9a2478a-8c6f-42a3-84aa-dd381ec8c4fe	GET	undefined	/}
20220831	18:26:22	3ae979e7-c4fe-4b54-b8bd-091fa375e1b5	GET	undefined	/css/style.css}
20220831	18:26:37	7ae052b7-19ee-4f37-bb09-335a197edd4f	GET	undefined	/new-page.html}
20220831	18:26:38	bf3a3031-623f-4f3b-bc66-d4ecb9c953a6	GET	undefined	/css/style.css}
20220831	18:26:38	f226b8e6-6dec-40f7-9d21-95cedfc43199	GET	undefined	/img/img1.jpg}
20220831	18:38:24	10f795a8-2dba-4df4-9a7a-2121714cdd77	GET	undefined	/employees}
20220831	18:44:46	b963027d-0ccf-4c98-a3af-d49c421b8046	DELETE	undefined	/employees}
20220831	18:45:28	88f419b5-7140-4769-9288-fe7fc81b87e6	DELETE	undefined	/employees}
20220831	19:11:27	e7400e0e-8215-4660-a3df-780ed3afdae0	POST	undefined	/employees}
20220831	19:11:47	9a5f6da5-8c37-4cc0-b55d-0080e27c2856	GET	undefined	/employees}
20220831	19:12:00	0f56ef74-61b2-4cf5-9507-7f48d32f63e3	GET	undefined	/employee/1}
20220831	19:12:18	757feebb-8505-4f51-8490-eea841c09005	GET	undefined	/employee?1}
20220831	19:12:38	21e9fa76-2b4b-49b0-94c4-a4c6e5142fda	GET	undefined	/employee/?1}
20220831	19:13:14	e7a69c90-2e3a-473a-82bb-e68d3f8e89d1	GET	undefined	/employee/1}
20220831	19:13:52	2cf50c58-b99b-462e-b815-f6bc0c9c3528	GET	undefined	/employees/1}
20220831	19:29:51	15805e14-1173-4a31-8811-923843617610	GET	undefined	/employees}
20220831	19:30:51	3c58b782-1f21-41c1-9bb7-0e9af47eef60	POST	undefined	/employees/}
